Fecha,Año,Mes,Día,Hora,Comuna,Tipo de Calle,Tipo de Víctima,Sexo,Edad
2017-12-06,2017,12,6,17:30:00,4,CALLE,BICICLETA,MASCULINO,19.0
2017-12-11,2017,12,11,02:00:00,6,AVENIDA,MOTO,MASCULINO,42.16716867469879
2017-12-11,2017,12,11,02:00:00,6,AVENIDA,MOTO,MASCULINO,30.0
2017-12-11,2017,12,11,09:15:00,4,AVENIDA,PEATON,MASCULINO,76.0
2017-12-12,2017,12,12,21:25:41,7,AVENIDA,,MASCULINO,77.0
2017-12-17,2017,12,17,09:02:00,9,GRAL PAZ,AUTO,MASCULINO,53.0
2017-12-18,2017,12,18,21:30:00,11,GRAL PAZ,MOTO,MASCULINO,32.0
2017-12-20,2017,12,20,04:31:27,1,AVENIDA,MOTO,MASCULINO,27.0
2017-12-22,2017,12,22,13:15:00,7,AVENIDA,PEATON,FEMENINO,30.0
2017-12-26,2017,12,26,15:30:00,9,AVENIDA,PEATON,FEMENINO,30.0
2018-01-01,2018,1,1,22:50:00,3,AVENIDA,PEATON,MASCULINO,83.0
2018-01-03,2018,1,3,16:40:00,1,CALLE,BICICLETA,FEMENINO,26.0
2018-01-05,2018,1,5,10:12:00,15,AVENIDA,PEATON,FEMENINO,58.0
2018-01-09,2018,1,9,09:40:00,13,AVENIDA,MOTO,MASCULINO,39.0
2018-01-09,2018,1,9,22:30:00,1,AVENIDA,PEATON,MASCULINO,54.0
2018-01-10,2018,1,10,21:15:00,6,CALLE,BICICLETA,FEMENINO,45.0
2018-01-11,2018,1,11,02:30:00,9,AUTOPISTA,AUTO,MASCULINO,46.0
2018-01-12,2018,1,12,17:50:00,1,AVENIDA,MOTO,FEMENINO,32.0
2018-01-14,2018,1,14,02:00:00,4,AVENIDA,MOTO,MASCULINO,19.0
2018-01-18,2018,1,18,05:10:00,10,CALLE,MOTO,MASCULINO,40.0
2018-01-19,2018,1,19,10:30:00,2,AVENIDA,PEATON,MASCULINO,84.0
2018-01-26,2018,1,26,13:30:00,8,CALLE,MOTO,MASCULINO,20.0
2018-01-28,2018,1,28,08:15:00,12,AVENIDA,MOTO,MASCULINO,44.0
2018-01-31,2018,1,31,20:00:00,7,AVENIDA,PEATON,MASCULINO,42.16716867469879
2018-02-06,2018,2,6,01:00:00,4,AVENIDA,MOTO,MASCULINO,28.0
2018-02-06,2018,2,6,01:00:00,4,AVENIDA,MOTO,MASCULINO,19.0
2018-02-15,2018,2,15,10:15:00,1,AVENIDA,MOTO,MASCULINO,31.0
2018-02-17,2018,2,17,04:15:00,7,AVENIDA,PEATON,MASCULINO,35.0
