ID,FECHA,AÑO,MES,HORA,pos x,pos y,TIPO_DE_CALLE,COMUNA,VICTIMA,ACUSADO,N_VICTIMAS,ROL,SEXO,EDAD
2016-0148,2016-11-16,2016,11,22:20:00,-58.46536113,-34.59484504,AVENIDA,15,MOTO,MOTO,1,CONDUCTOR,MASCULINO,SD
2016-0150,2016-11-18,2016,11,18:20:00,-58.40879146,-34.65273216,AVENIDA,4,CARGAS,CARGAS,1,PASAJERO_ACOMPAÑANTE,MASCULINO,41
2016-0151,2016-11-18,2016,11,20:35:00,0.0,0.0,CALLE,1,PEATON,SD,1,PEATON,SD,SD
2016-0152,2016-11-23,2016,11,21:10:00,-58.46451841,-34.64991946,AVENIDA,7,MOTO,AUTO,1,CONDUCTOR,MASCULINO,42
2016-0153,2016-11-25,2016,11,15:42:00,-58.4291709,-34.59485488,AVENIDA,15,PEATON,MOTO,1,PEATON,FEMENINO,83
2016-0154,2016-11-26,2016,11,14:14:00,-58.49007772,-34.68251141,GRAL PAZ,8,MOTO,MOTO,1,CONDUCTOR,MASCULINO,38
2016-0155,2016-11-26,2016,11,16:50:00,-58.52756365,-34.62772274,CALLE,10,PEATON,AUTO,1,PEATON,FEMENINO,29
2016-0156,2016-11-26,2016,11,19:40:00,-58.40638983,-34.61943202,AVENIDA,3,MOTO,PASAJEROS,1,CONDUCTOR,MASCULINO,23
2016-0157,2016-12-03,2016,12,06:40:00,-58.47576807,-34.61740997,AVENIDA,11,MOTO,MOTO,1,CONDUCTOR,MASCULINO,23
2016-0159,2016-12-04,2016,12,07:21:00,-58.44451316,-34.68475866,AVENIDA,8,AUTO,SD,1,CONDUCTOR,MASCULINO,23
2016-0160,2016-12-06,2016,12,05:30:00,-58.51927194,-34.63635787,AUTOPISTA,9,CARGAS,OBJETO FIJO,1,CONDUCTOR,MASCULINO,29
2016-0161,2016-12-06,2016,12,07:22:00,-58.42525456,-34.57866344,AVENIDA,14,PEATON,PASAJEROS,1,PEATON,MASCULINO,50
2016-0162,2016-12-07,2016,12,05:00:00,-58.45396573,-34.58518167,AVENIDA,15,PEATON,AUTO,1,PEATON,MASCULINO,38
2016-0163,2016-12-10,2016,12,07:30:00,-58.52340614,-34.59798754,GRAL PAZ,11,MOTO,AUTO,1,CONDUCTOR,MASCULINO,23
2016-0164,2016-12-11,2016,12,06:16:00,-58.42323628,-34.64119105,AVENIDA,4,AUTO,AUTO,1,CONDUCTOR,MASCULINO,29
2016-0165,2016-12-12,2016,12,08:25:00,-58.36926144,-34.62841919,AVENIDA,4,BICICLETA,PASAJEROS,1,CICLISTA,MASCULINO,37
2016-0168,2016-12-13,2016,12,10:40:00,-58.42323628,-34.64119105,AVENIDA,4,MOTO,AUTO,1,CONDUCTOR,MASCULINO,43
2016-0169,2016-12-15,2016,12,15:30:00,-58.47935434,-34.55676497,AVENIDA,12,MOTO,PASAJEROS,1,CONDUCTOR,MASCULINO,24
2016-0170,2016-12-19,2016,12,17:10:00,-58.50598256,-34.5637998,GRAL PAZ,12,MOTO,AUTO,1,PASAJERO_ACOMPAÑANTE,MASCULINO,21
2016-0171,2016-12-25,2016,12,19:00:00,-58.36607137,-34.62150748,AUTOPISTA,1,MOTO,MOTO,1,CONDUCTOR,SD,SD
2016-0172,2016-12-26,2016,12,08:00:00,-58.41918902,-34.63174259,AVENIDA,5,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,38
2016-0173,2016-12-26,2016,12,19:52:00,-58.46749188,-34.63551751,AVENIDA,7,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,35
2016-0174,2016-12-27,2016,12,00:00:00,0.0,0.0,AUTOPISTA,1,SD,SD,1,SD,SD,SD
2016-0175,2016-12-27,2016,12,08:15:00,-58.46064174,-34.62960517,CALLE,7,PEATON,BICICLETA,1,PEATON,FEMENINO,SD
2016-0176,2016-12-28,2016,12,01:41:00,-58.36956186,-34.61232875,AVENIDA,1,MOTO,PASAJEROS,1,CONDUCTOR,MASCULINO,28
2016-0177,2016-12-29,2016,12,04:00:00,-58.40966671,-34.58788235,CALLE,14,PEATON,AUTO,1,PEATON,FEMENINO,27
2016-0178,2016-12-30,2016,12,16:18:00,-58.40288226,-34.61544091,CALLE,3,PEATON,MULTIPLE,1,PEATON,FEMENINO,7
2017-0001,2017-01-02,2017,1,01:00:00,-58.4659423,-34.61028571,AVENIDA,11,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,18
2017-0003,2017-01-05,2017,1,03:10:00,-58.38957669,-34.64410277,AVENIDA,4,CARGAS,CARGAS,1,PASAJERO_ACOMPAÑANTE,MASCULINO,33
2017-0007,2017-01-11,2017,1,17:00:00,-58.3816166,-34.61529543,CALLE,1,PEATON,MULTIPLE,1,PEATON,MASCULINO,48
2017-0008,2017-01-16,2017,1,00:40:00,-58.43917004,-34.58494351,CALLE,14,MOTO,PASAJEROS,1,CONDUCTOR,MASCULINO,29
2017-0009,2017-01-16,2017,1,13:56:00,-58.41595919,-34.62743346,AUTOPISTA,5,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,36
2017-0010,2017-01-16,2017,1,16:30:00,-58.4356488,-34.62828656,AVENIDA,6,MOTO,AUTO,1,CONDUCTOR,MASCULINO,23
2017-0011,2017-01-22,2017,1,02:30:00,-58.5007381,-34.5497951,GRAL PAZ,12,MOTO,OBJETO FIJO,1,PASAJERO_ACOMPAÑANTE,FEMENINO,29
2017-0012,2017-01-24,2017,1,14:00:00,-58.40969005,-34.6505529,CALLE,4,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,30
2017-0013,2017-01-27,2017,1,07:00:00,-58.38972622,-34.65098981,AVENIDA,4,PEATON,CARGAS,1,PEATON,MASCULINO,4
