ID;N_VICTIMAS;FECHA;HORA;TIPO_DE_CALLE;COMUNA;POS_X;POS_Y;ACUSADO
2017-0150;1;2017-12-04;1;AVENIDA;9;-58.5114;-34.6393;AUTO
2017-0151;1;2017-12-04;2;CALLE;4;-58.3746;-34.6556;PASAJEROS
2017-0152;1;2017-12-06;17;CALLE;4;-58.4115;-34.6507;PASAJEROS
2017-0153;2;2017-12-11;2;AVENIDA;6;-58.4286;-34.6183;PASAJEROS
2017-0154;1;2017-12-11;9;AVENIDA;4;-58.3904;-34.6341;PASAJEROS
2017-0155;1;2017-12-12;21;AVENIDA;7;-58.4559;-34.6266;MOTO
2017-0157;1;2017-12-17;9;GRAL PAZ;9;-58.5287;-34.646;PASAJEROS
2017-0158;1;2017-12-18;21;GRAL PAZ;11;-58.5204;-34.5941;AUTO
2017-0159;1;2017-12-20;4;AVENIDA;1;-58.389;-34.618;AUTO
2017-0160;1;2017-12-22;13;AVENIDA;7;-58.4707;-34.6277;MOTO
2017-0161;1;2017-12-26;15;AVENIDA;9;-58.482;-34.6597;AUTO
2018-0001;1;2018-01-01;22;AVENIDA;3;-58.3954;-34.623;MOTO
2018-0002;1;2018-01-03;16;CALLE;1;-58.3746;-34.619;PASAJEROS
2018-0003;1;2018-01-05;10;AVENIDA;15;-58.4486;-34.604;MULTIPLE
2018-0004;1;2018-01-09;9;AVENIDA;13;-58.4613;-34.5433;MULTIPLE
2018-0005;1;2018-01-09;22;AVENIDA;1;-58.3691;-34.6195;PASAJEROS
2018-0006;1;2018-01-10;21;CALLE;6;-58.4406;-34.625;PASAJEROS
2018-0007;1;2018-01-11;2;AUTOPISTA;9;-58.525;-34.636;AUTO
2018-0008;1;2018-01-12;17;AVENIDA;1;-58.3666;-34.6169;CARGAS
2018-0009;1;2018-01-14;2;AVENIDA;4;-58.3674;-34.6276;MOTO
2018-0010;1;2018-01-18;5;CALLE;10;-58.4981;-34.6304;CARGAS
2018-0011;1;2018-01-19;10;AVENIDA;2;-58.3909;-34.5909;PASAJEROS
2018-0012;1;2018-01-26;13;CALLE;8;-58.4691;-34.6805;PASAJEROS
2018-0013;1;2018-01-28;8;AVENIDA;12;-58.4866;-34.5679;AUTO
2018-0014;1;2018-01-31;20;AVENIDA;7;-58.4408;-34.6508;MOTO
2018-0015;2;2018-02-06;1;AVENIDA;4;-58.3864;-34.6468;PASAJEROS
2018-0016;1;2018-02-15;10;AVENIDA;1;-58.3753;-34.5928;CARGAS
2018-0017;1;2018-02-17;4;AVENIDA;7;-58.4696;-34.6307;AUTO
2018-0018;1;2018-02-17;7;CALLE;4;-58.3721;-34.6454;CARGAS
2018-0019;1;2018-02-17;12;AVENIDA;2;-58.3919;-34.5918;PASAJEROS
2018-0020;1;2018-02-19;22;AUTOPISTA;8;-58.4501;-34.6652;CARGAS
2018-0021;1;2018-02-22;10;AVENIDA;4;-58.4018;-34.6455;PASAJEROS
2018-0022;1;2018-02-24;0;AVENIDA;4;-58.3744;-34.6397;CARGAS
2018-0023;1;2018-02-24;6;CALLE;6;-58.4411;-34.6208;AUTO
2018-0024;1;2018-02-28;23;AVENIDA;15;-58.4709;-34.5783;CARGAS
2018-0025;1;2018-03-04;22;AVENIDA;7;-58.4596;-34.6225;AUTO
2018-0026;2;2018-03-09;4;AVENIDA;4;-58.4166;-34.6548;CARGAS
2018-0027;1;2018-03-11;23;CALLE;5;-58.4191;-34.6372;MOTO
2018-0028;1;2018-03-13;15;AVENIDA;9;-58.4712;-34.6425;CARGAS
2018-0029;1;2018-03-15;18;AVENIDA;11;-58.4742;-34.6205;AUTO
2018-0030;1;2018-03-20;1;AVENIDA;15;-58.4672;-34.5791;MOTO
2018-0031;1;2018-03-28;10;AVENIDA;11;-58.4691;-34.6178;CARGAS
2018-0032;1;2018-04-02;13;AVENIDA;13;-58.447;-34.5689;PASAJEROS
2018-0033;1;2018-04-07;7;AVENIDA;10;-58.5054;-34.629;CARGAS
2018-0034;1;2018-04-11;18;AVENIDA;2;-58.4002;-34.5952;PASAJEROS
2018-0035;1;2018-04-12;16;AVENIDA;7;-58.4633;-34.6292;PASAJEROS
